,Graph,Collection,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Total triangles,Average triangles,Maximum triangles,Avg. clustering coef.,Frac. closed triangles,Maximum k-core,Max. clique (lb),Chromatic Number
15,web-polblogs,Web Graphs,643,2280,0.0110464,165,1,7,-0.21787,9012,14,392,0.232016,0.160848,13,9,
16,web-sk-2005,Web Graphs,121422,334419,4.54E-05,590,1,5,0.0808632,2980263,24,3481,0.233198,0.473203,82,53,
17,web-spam,Web Graphs,4767,37375,0.00329012,477,1,15,4.73E-05,387051,81,6273,0.285979,0.145193,36,14,
18,web-uk-2005,Web Graphs,129632,11744049,0.00139774,850,1,181,0.996939,2513657160,19390,124251,0.988363,0.999717,500,500,
19,web-webbase-2001,Web Graphs,16062,25593,0.000198417,1679,1,3,-0.098495,63345,3,1362,0.224316,0.0249263,33,9,
20,web-wiki-ch-internal,Web Graphs,1930270,9353984,5.02E-06,29502,1,9,-0.0466194,70022089,36,600097,0.111251,0.00927161,128,13,
21,web-wikipedia2009,Web Graphs,1864433,4507315,2.59E-06,2624,1,4,0.0488784,6653808,3,12404,0.159551,0.0484692,67,11,
22,scc-enron-only,Temporal Reachability,151,9828,0.867815,145,0,130,-0.0891616,1275801,8449,9683,0.927952,0.956528,120,119,
23,scc-fb-forum,Temporal Reachability,897,71011,0.176708,435,0,158,-0.220219,21884223,24397,70402,0.466629,0.870529,273,262,
24,scc-fb-messages,Temporal Reachability,1899,531893,0.295143,1253,0,560,-0.25056,413899686,217956,530538,0.586347,0.82024,707,694,
25,scc-infect-dublin,Temporal Reachability,10972,175573,0.00291713,219,1,32,0.61251,6941775,632,9129,0.799018,0.740365,84,70,
26,scc-infect-hyper,Temporal Reachability,113,6222,0.983249,112,85,110,-0.0619785,670551,5934,6110,0.986349,0.986032,106,106,
27,scc-reality,Temporal Reachability,6809,4714485,0.203405,6069,1,1384,-0.576046,6617726835,971908,4695661,0.87276,0.485114,1236,1227,
28,scc-retweet-crawl,Temporal Reachability,1131801,24015,3.75E-08,195,0,0,0.26318,73173,0,1056,0.00405199,0.293542,20,20,
29,scc-retweet,Temporal Reachability,18469,65990,0.000386941,551,0,7,-0.160895,10941963,592,52407,0.0454587,0.626467,175,157,
30,scc-rt-alwefaq,Temporal Reachability,4157,355,4.11E-05,39,0,0,-0.153274,4449,1,280,0.00874054,0.617745,16,16,
31,scc-rt-assad,Temporal Reachability,2035,96,4.64E-05,20,0,0,-0.324761,537,0,65,0.00824339,0.544073,8,8,
32,scc-rt-bahrain,Temporal Reachability,4659,129,1.19E-05,20,0,0,0.209355,555,0,66,0.00425941,0.525568,8,8,
33,scc-rt-barackobama,Temporal Reachability,9551,226,4.96E-06,43,0,0,-0.329245,1491,0,153,0.00400433,0.427956,10,10,
34,scc-rt-damascus,Temporal Reachability,2962,41,9.35E-06,8,0,0,0.500287,60,0,12,0.00185685,0.512821,5,5,
35,scc-rt-dash,Temporal Reachability,5968,39,2.19E-06,8,0,0,0.381065,84,0,13,0.00182721,0.613139,6,6,
36,scc-rt-gmanews,Temporal Reachability,8330,1078,3.11E-05,114,0,0,-0.509233,20418,2,950,0.011671,0.454936,22,22,
37,scc-rt-gop,Temporal Reachability,3716,7,1.01E-06,2,0,0,-0.166667,0,0,0,0,0,2,2,
38,scc-rt-http,Temporal Reachability,5691,6,3.71E-07,4,0,0,-0.714286,6,0,2,0.000527148,0.545455,3,3,
39,scc-rt-islam,Temporal Reachability,2,2,2,1,0,1,0,0,0,0,0,0,1,0,2
40,scc-rt-israel,Temporal Reachability,3686,12,1.77E-06,2,0,0,0.4,0,0,0,0,0,2,2,
41,scc-rt-justinbieber,Temporal Reachability,9364,442,1.01E-05,42,0,0,-0.343126,6753,0,375,0.00453619,0.627369,17,17,
42,scc-rt-ksa,Temporal Reachability,5775,23,1.38E-06,5,0,0,0.987377,60,0,10,0.00103896,0.983607,6,6,
43,scc-rt-lebanon,Temporal Reachability,3370,5,8.81E-07,1,0,0,,0,0,0,0,,2,2,
44,scc-rt-libya,Temporal Reachability,5021,26,2.06E-06,11,0,0,-0.18845,15,0,5,0.0013857,0.194805,3,3,
45,scc-rt-lolgop,Temporal Reachability,9742,4510,9.51E-05,249,0,0,-0.416257,175257,17,4247,0.0205271,0.485861,42,42,
46,scc-rt-mittromney,Temporal Reachability,7850,108,3.51E-06,25,0,0,-0.083512,198,0,38,0.00266292,0.294643,5,5,
47,scc-rt-obama,Temporal Reachability,3040,4,8.66E-07,1,0,0,,0,0,0,0,,2,2,
48,scc-rt-occupy,Temporal Reachability,3090,60,1.26E-05,11,0,0,0.320192,78,0,15,0.00249618,0.384236,5,5,
49,scc-rt-occupywallstnyc,Temporal Reachability,3594,931,0.000144193,112,0,0,-0.512631,14277,3,809,0.0253019,0.389699,18,18,
50,scc-rt-oman,Temporal Reachability,4452,13,1.31E-06,6,0,0,-0.198157,6,0,2,0.000628931,0.285714,3,3,
51,scc-rt-onedirection,Temporal Reachability,7704,368,1.24E-05,28,0,0,0.59098,8943,1,335,0.00394995,0.977698,27,27,
52,scc-rt-p2,Temporal Reachability,4785,15,1.31E-06,3,0,0,-0.105263,0,0,0,0,0,2,2,
53,scc-rt-qatif,Temporal Reachability,6718,11,4.88E-07,5,0,0,-0.565972,3,0,1,0.000446561,0.214286,3,2,
54,scc-rt-saudi,Temporal Reachability,6805,91,3.93E-06,16,0,0,0.118004,546,0,62,0.00259969,0.6825,8,8,
55,scc-rt-tcot,Temporal Reachability,4506,18,1.77E-06,4,0,0,0.121951,6,0,2,0.000739754,0.4,3,3,
56,scc-rt-tlot,Temporal Reachability,3513,8,1.30E-06,3,0,0,0,0,0,0,0,0,2,2,
57,scc-rt-uae,Temporal Reachability,4757,12,1.06E-06,3,0,0,-0.183099,3,0,1,0.00063065,0.428571,3,2,
58,scc-rt-voteonedirection,Temporal Reachability,1833,5,2.98E-06,2,0,0,1,3,0,1,0.00163666,1,3,3,
59,scc-twitter-copen,Temporal Reachability,8580,473614,0.0128686,1516,0,110,-0.407823,291171060,33936,469039,0.203078,0.699313,583,541,
60,tech-RL-caida,Technological Networks,190914,607610,3.33E-05,1071,1,6,0.0247527,1364412,7,6044,0.158173,0.0607594,33,17,
61,tech-WHOIS,Technological Networks,7476,56943,0.00203793,1079,1,15,-0.0424688,2347482,314,22271,0.488923,0.306151,89,49,
62,tech-as-caida2007,Technological Networks,26475,53381,0.000152321,2628,1,4,-0.194646,109095,4,3813,0.208233,0.00731873,23,16,
63,tech-as-skitter,Technological Networks,1694616,11094209,7.73E-06,35455,1,13,-0.0814313,86309526,50,564609,0.2584,0.00538705,112,55,
64,tech-internet-as,Technological Networks,40164,85123,0.000105539,3370,1,4,-0.178102,189840,4,8513,0.205467,0.00663543,24,16,
65,tech-ip,Technological Networks,2250498,21644714,8.55E-06,1833169,2,19,1.00884,6896001,3,148179,0.00199255,3.36E-06,254,4,
66,tech-p2p-gnutella,Technological Networks,62561,147878,7.56E-05,95,1,4,-0.09273,6072,0,17,0.00546606,0.00387203,7,4,
67,tech-p2p,Technological Networks,,,,,,,,,,,,,,,
68,tech-pgp,Technological Networks,10680,24340,0.000426824,206,1,4,0.239454,164934,15,2306,0.26598,0.377912,32,25,
69,tech-routers-rf,Technological Networks,2113,6632,0.00297222,109,1,6,0.0191614,31212,14,588,0.246429,0.22826,16,16,
70,socfb-A-anon,Facebook Networks,3097165,23667394,4.93E-06,4915,1,15,-0.0556824,166819284,53,50241,0.0970059,0.0476992,75,9,
71,socfb-American75,Facebook Networks,6386,217662,0.0106763,930,1,68,0.0660225,4400862,689,17432,0.240179,0.163545,57,9,
72,socfb-Amherst41,Facebook Networks,2235,90954,0.0364327,467,1,81,0.0584284,2748795,1229,14640,0.310386,0.233137,64,10,
73,socfb-Auburn71,Facebook Networks,18448,973918,0.00572371,5160,1,105,0.00104575,30329328,1644,198991,0.222753,0.13671,96,13,
74,socfb-B-anon,Facebook Networks,2937612,20959854,4.86E-06,4356,1,14,-0.112084,155972349,53,36861,0.0911896,0.0483293,64,12,
75,socfb-BC17,Facebook Networks,11509,486967,0.00735347,1377,1,84,0.0760332,10548657,916,27761,0.209771,0.144294,70,12,
76,socfb-BU10,Facebook Networks,19700,637528,0.00328563,1819,1,64,0.0453658,9227970,468,22496,0.190452,0.120834,51,12,
77,socfb-Baylor93,Facebook Networks,12803,679817,0.00829531,2109,1,106,0.0787298,20917197,1633,40865,0.210161,0.155384,97,11,
78,socfb-Berkeley13,Facebook Networks,22900,852419,0.00325111,3434,1,74,0.0103023,16108779,703,69511,0.207071,0.11382,65,15,
79,socfb-Bingham82,Facebook Networks,10004,362894,0.0072528,553,1,72,0.137364,7163862,716,17652,0.222889,0.159825,58,10,
80,socfb-Bowdoin47,Facebook Networks,2252,84387,0.0332937,670,1,74,0.0562046,2131455,946,22411,0.288719,0.216336,59,9,
81,socfb-Brandeis99,Facebook Networks,3898,137567,0.0181122,1972,1,70,-0.0255153,3056655,784,62180,0.262103,0.164068,57,9,
82,socfb-Brown11,Facebook Networks,8600,384526,0.0103994,1075,1,89,0.0693888,8858001,1030,17972,0.217382,0.144968,71,10,
83,socfb-Bucknell39,Facebook Networks,3826,158864,0.021711,506,1,83,0.0945074,3981768,1040,10118,0.27846,0.201811,60,9,
84,socfb-CMU,Facebook Networks,6621,249959,0.0114056,840,1,75,0.122458,6930159,1046,24065,0.278772,0.185256,70,15,
85,socfb-Cal65,Facebook Networks,11247,351358,0.00555578,415,1,62,0.191612,6361083,565,8243,0.22748,0.161919,64,19,
86,socfb-Caltech36,Facebook Networks,769,16656,0.0564044,248,1,43,-0.065273,358689,466,3953,0.409294,0.291283,36,12,
87,socfb-Carnegie49,Facebook Networks,6637,249967,0.011351,840,1,75,0.122507,6930159,1044,24065,0.2781,0.185256,70,15,
88,socfb-Colgate88,Facebook Networks,3482,155043,0.0255829,773,1,89,0.0670009,4263771,1224,15444,0.267257,0.206658,66,12,
89,socfb-Columbia2,Facebook Networks,11770,444333,0.00641538,3375,1,75,-0.00217816,9858834,837,116436,0.230322,0.129498,67,10,
90,socfb-Cornell5,Facebook Networks,18660,790777,0.00454239,3156,1,84,0.01805,18337950,982,77234,0.219051,0.135615,85,13,
91,socfb-Dartmouth6,Facebook Networks,7694,304076,0.0102746,948,1,79,0.0443845,6833094,888,17520,0.243062,0.151037,67,11,
92,socfb-Duke14,Facebook Networks,9885,506437,0.0103668,1887,1,102,0.066656,15427674,1560,41982,0.245542,0.165923,86,9,
93,socfb-Emory27,Facebook Networks,7460,330014,0.0118616,1095,1,88,0.0663278,9458490,1267,25622,0.25585,0.188818,74,10,
94,socfb-FSU53,Facebook Networks,27737,1034802,0.0026902,2555,1,74,0.0993616,23575941,849,27950,0.217091,0.153318,82,24,
95,socfb-GWU54,Facebook Networks,12193,469528,0.00631693,2002,1,77,0.0252873,9641643,790,31277,0.217272,0.138699,63,9,
96,socfb-Georgetown15,Facebook Networks,9414,425638,0.00960657,1235,1,90,0.0754203,10064085,1069,29185,0.224958,0.148545,74,10,
97,socfb-Hamilton46,Facebook Networks,2314,96394,0.0360198,602,1,83,0.0305937,2739387,1183,18607,0.298061,0.219208,64,15,
98,socfb-Harvard1,Facebook Networks,15126,824617,0.0072088,1183,1,109,0.145055,24848793,1642,36488,0.212334,0.135616,104,9,
99,socfb-Haverford76,Facebook Networks,1446,59589,0.0570374,375,1,82,0.0674921,1883580,1302,12764,0.322958,0.250546,64,17,
100,socfb-Howard90,Facebook Networks,4047,204850,0.0250211,1215,1,101,0.0578825,6533079,1614,51725,0.22839,0.17308,82,9,
101,socfb-Indiana,Facebook Networks,29732,1305757,0.00295433,1358,1,87,0.132925,28173249,947,37292,0.20467,0.135006,77,11,
102,socfb-Indiana69,Facebook Networks,29747,1305765,0.00295137,1358,1,87,0.132934,28173249,947,37292,0.204567,0.135006,77,11,
103,socfb-JMU79,Facebook Networks,14070,485564,0.00490591,3274,1,69,0.0029515,8176923,581,63729,0.201796,0.130691,61,9,
104,socfb-JohnsHopkins55,Facebook Networks,5180,186586,0.0139102,886,1,72,0.079805,4943355,954,16384,0.268393,0.193161,65,9,
105,socfb-Lehigh96,Facebook Networks,5075,198347,0.0154053,973,1,78,0.0351435,4865694,958,26872,0.266447,0.189743,63,10,
106,socfb-MIT,Facebook Networks,6402,251230,0.0122613,708,1,78,0.119896,7111758,1110,27788,0.27236,0.180288,73,9,
107,socfb-MIT8,Facebook Networks,6440,251252,0.0121181,708,1,78,0.120051,7111761,1104,27788,0.271219,0.180288,73,9,
108,socfb-MSU24,Facebook Networks,32375,1118774,0.00213484,5267,1,69,0.00904746,19353549,597,53087,0.204153,0.12206,83,11,
109,socfb-MU78,Facebook Networks,15436,649449,0.00545172,653,1,84,0.15846,13945266,903,13592,0.214208,0.151753,71,11,
110,socfb-Maine59,Facebook Networks,9069,243247,0.00591571,1011,1,53,0.0731555,3448011,380,8064,0.238895,0.145333,45,11,
111,socfb-Maryland58,Facebook Networks,20871,744862,0.00342011,3784,1,71,0.00142236,13972512,669,48720,0.207493,0.129323,66,9,
112,socfb-Mich67,Facebook Networks,3748,81903,0.011664,419,1,43,0.141737,1403316,374,7553,0.281588,0.19381,46,14,
113,socfb-Michigan23,Facebook Networks,30147,1176516,0.00258913,2031,1,78,0.115002,24752640,821,43887,0.209836,0.132609,89,11,
114,socfb-Middlebury45,Facebook Networks,3075,124610,0.0263654,473,1,81,0.0784831,3357693,1091,12820,0.281629,0.210842,63,13,
115,socfb-Mississippi66,Facebook Networks,10521,610911,0.0110391,1691,1,116,0.150673,24761280,2353,60286,0.247916,0.182167,117,10,
116,socfb-NYU9,Facebook Networks,21679,715715,0.00304587,2315,1,66,0.0106439,10859937,500,39402,0.194039,0.107627,55,13,
117,socfb-Northeastern19,Facebook Networks,13882,381934,0.00396411,968,1,55,0.0681706,5030112,362,21591,0.201149,0.128196,44,11,
118,socfb-Northwestern25,Facebook Networks,10567,488337,0.00874757,2105,1,92,0.0344413,13200960,1249,46746,0.237991,0.160259,77,21,
119,socfb-NotreDame57,Facebook Networks,12155,541339,0.00732867,1344,1,89,0.0477132,10576236,870,22012,0.208816,0.126433,71,12,
120,socfb-OR,Facebook Networks,63392,816885,0.000406564,1098,1,25,0.176751,10504575,165,19467,0.221807,0.14772,53,10,
121,socfb-Oberlin44,Facebook Networks,2920,89912,0.0210975,478,1,61,0.0500802,1667100,570,10635,0.263398,0.173822,50,11,
122,socfb-Oklahoma97,Facebook Networks,17425,892528,0.00587938,2568,1,102,0.0736733,30820938,1768,52671,0.229787,0.158678,108,15,
123,socfb-Penn94,Facebook Networks,41536,1362220,0.0015792,4410,1,65,-0.00132831,21623388,520,68097,0.211836,0.098215,63,17,
124,socfb-Pepperdine86,Facebook Networks,3445,152007,0.0256237,674,1,88,0.0555095,4763829,1382,23929,0.277445,0.206423,72,10,
125,socfb-Princeton12,Facebook Networks,6596,293320,0.0134858,628,1,88,0.0910921,7561623,1146,16110,0.236902,0.163885,77,10,
126,socfb-Reed98,Facebook Networks,962,18812,0.0406974,313,1,39,0.0234339,291411,302,4242,0.31836,0.220706,35,10,
127,socfb-Rice31,Facebook Networks,4087,184828,0.0221358,581,1,90,0.0648617,5713911,1398,18443,0.294188,0.203183,73,13,
128,socfb-Rochester38,Facebook Networks,4563,161404,0.0155074,1224,1,70,0.0249558,3879213,850,24131,0.29322,0.198468,57,9,
129,socfb-Rutgers89,Facebook Networks,24580,784602,0.00259737,1642,1,63,0.0757115,13394787,544,21290,0.221197,0.138594,57,9,
130,socfb-Santa74,Facebook Networks,3578,151747,0.0237132,1129,1,84,0.0706336,4357305,1217,31739,0.262967,0.202237,69,9,
131,socfb-Simmons81,Facebook Networks,1518,32988,0.0286503,300,1,43,-0.061967,505686,333,5202,0.314938,0.212398,35,10,
132,socfb-Smith60,Facebook Networks,2970,97133,0.0220308,349,1,65,0.0436172,1905849,641,6864,0.28345,0.193123,49,9,
133,socfb-Stanford3,Facebook Networks,11586,568309,0.00846808,1172,1,98,0.101951,17507610,1511,33177,0.241639,0.157436,92,10,
134,socfb-Swarthmore42,Facebook Networks,1659,61050,0.04439,577,1,73,0.0609671,1658166,999,19729,0.296539,0.226707,61,11,
135,socfb-Syracuse56,Facebook Networks,13653,543982,0.00583701,1340,1,79,0.0645488,13109538,960,18708,0.235711,0.170546,76,13,
136,socfb-Temple83,Facebook Networks,13686,360795,0.00385274,1394,1,52,0.0302841,5592252,408,16993,0.213252,0.126848,62,10,
137,socfb-Tennessee95,Facebook Networks,16979,770659,0.0053468,4943,1,90,0.000522807,21564507,1270,155902,0.235146,0.13866,88,9,
138,socfb-Texas80,Facebook Networks,31560,1219650,0.00244909,1796,1,77,0.163892,28868289,914,34619,0.216629,0.15309,79,12,
139,socfb-Texas84,Facebook Networks,36364,1590651,0.00240588,6312,1,87,-0.00150477,33535656,922,141050,0.193727,0.09989,82,9,
140,socfb-Trinity100,Facebook Networks,2613,111996,0.0328186,404,1,85,0.0719057,3277602,1254,12108,0.290325,0.227958,68,11,
141,socfb-Tufts18,Facebook Networks,6682,249728,0.0111879,827,1,74,0.118031,5437572,813,19086,0.229085,0.162119,65,9,
142,socfb-Tulane29,Facebook Networks,7752,283918,0.00945043,1188,1,73,0.0976006,7296960,941,18306,0.254924,0.190198,69,16,
143,socfb-UC33,Facebook Networks,16808,522147,0.00369672,1415,1,62,0.0939294,9670329,575,22686,0.228586,0.149198,59,15,
144,socfb-UC61,Facebook Networks,13746,442174,0.00468061,687,1,64,0.196892,10531566,766,22660,0.2622,0.177476,69,18,
145,socfb-UC64,Facebook Networks,6833,155332,0.00665475,660,1,45,0.12549,2812521,411,8440,0.270258,0.190653,52,13,
146,socfb-UCF52,Facebook Networks,14940,428989,0.00384418,4765,1,57,-0.00770684,10051212,672,93028,0.232601,0.156494,85,14,
147,socfb-UCLA,Facebook Networks,20453,747604,0.00357445,1180,1,73,0.136046,15339651,749,17534,0.214927,0.143135,66,9,
148,socfb-UCLA26,Facebook Networks,20467,747613,0.0035696,1180,1,73,0.136067,15339654,749,17534,0.214894,0.143135,66,9,
149,socfb-UCSB37,Facebook Networks,14917,482215,0.00433448,810,1,64,0.183062,9229971,618,16140,0.22099,0.157027,66,12,
150,socfb-UCSC68,Facebook Networks,8991,224584,0.00555701,454,1,49,0.132379,3432156,381,7293,0.23698,0.172203,44,12,
151,socfb-UCSD34,Facebook Networks,14948,443221,0.00396747,2165,1,59,0.0343554,7995471,534,25961,0.226739,0.150273,57,12,
152,socfb-UChicago30,Facebook Networks,6591,208103,0.00958234,1624,1,63,0.018002,4083579,619,33515,0.251855,0.154556,55,9,
153,socfb-UConn,Facebook Networks,17206,604867,0.00408654,1709,1,70,0.088615,10252326,595,21515,0.201941,0.132356,66,9,
154,socfb-UConn91,Facebook Networks,17212,604870,0.00408371,1709,1,70,0.0886209,10252326,595,21515,0.201871,0.132356,66,9,
155,socfb-UF,Facebook Networks,35111,1465654,0.00237787,8246,1,83,-0.0096485,36440373,1037,159087,0.221154,0.120511,84,13,
156,socfb-UF21,Facebook Networks,35123,1465660,0.00237625,8246,1,83,-0.00964788,36440373,1037,159087,0.221078,0.120511,84,13,
157,socfb-UGA50,Facebook Networks,24389,1174057,0.00394774,2926,1,96,0.0896312,30263433,1240,41323,0.210733,0.144346,87,12,
158,socfb-UIllinois,Facebook Networks,30795,1264421,0.00266671,4632,1,82,0.0278502,28052775,910,66178,0.214819,0.140501,86,9,
159,socfb-UIllinois20,Facebook Networks,30809,1264428,0.0026643,4632,1,82,0.0278529,28052775,910,66178,0.214722,0.140501,86,9,
160,socfb-UMass92,Facebook Networks,16516,519385,0.00380834,3684,1,62,-0.00137358,7949580,481,63196,0.209074,0.123239,54,10,
161,socfb-UNC28,Facebook Networks,18163,766800,0.00464901,3795,1,84,6.83E-05,16275057,896,94190,0.202085,0.115593,83,11,
162,socfb-UPenn7,Facebook Networks,14916,686501,0.00617157,1602,1,92,0.0925413,16403901,1099,28942,0.213674,0.142938,78,10,
163,socfb-USC35,Facebook Networks,17444,801853,0.00527057,4459,1,91,0.00550609,21485247,1231,106421,0.214383,0.144122,87,9,
164,socfb-USF51,Facebook Networks,13377,321214,0.00359037,897,1,48,0.146424,5491518,410,15926,0.232349,0.152502,60,10,
165,socfb-USFCA72,Facebook Networks,2682,65252,0.0181496,405,1,48,0.0918948,1115118,415,7447,0.267003,0.190678,44,10,
166,socfb-UVA16,Facebook Networks,17196,789321,0.00533893,3182,1,91,0.0255021,18665178,1085,65192,0.210452,0.134957,82,9,
167,socfb-Vanderbilt48,Facebook Networks,8069,427832,0.0131437,2041,1,106,0.0378327,14224983,1762,60775,0.249864,0.181733,87,9,
168,socfb-Vassar85,Facebook Networks,3068,119161,0.0253277,482,1,77,0.100781,2548887,830,11918,0.24605,0.176583,61,10,
169,socfb-Vermont70,Facebook Networks,7324,191221,0.00713064,864,1,52,0.0772049,2842242,388,11800,0.22936,0.152464,47,14,
170,socfb-Villanova62,Facebook Networks,7772,314989,0.0104308,1183,1,81,0.0612687,7351749,945,27116,0.235009,0.165655,66,9,
171,socfb-Virginia63,Facebook Networks,21325,698178,0.00307071,7206,1,65,-0.016074,13453515,630,153243,0.219347,0.10511,71,9,
172,socfb-Wake73,Facebook Networks,5372,279191,0.0193526,1341,1,103,0.070939,9953520,1852,49219,0.275834,0.203907,86,10,
173,socfb-WashU32,Facebook Networks,7755,367541,0.0122244,1794,1,94,0.0404564,10655649,1374,45503,0.261288,0.171937,78,9,
174,socfb-Wellesley22,Facebook Networks,2970,94899,0.0215241,746,1,63,0.0642533,1821111,613,19598,0.264173,0.172733,52,10,
175,socfb-Wesleyan43,Facebook Networks,3593,138035,0.0213907,549,1,76,0.0950834,3283092,913,9661,0.260682,0.194891,62,19,
176,socfb-William77,Facebook Networks,6472,266378,0.0127209,1124,1,82,0.0516014,6445185,995,22374,0.253614,0.167964,65,10,
177,socfb-Williams40,Facebook Networks,2790,112986,0.0290404,610,1,80,0.0403692,3005070,1077,19058,0.291312,0.207477,63,14,
178,socfb-Wisconsin87,Facebook Networks,23831,835946,0.00294403,3484,1,70,-0.00354211,14586621,612,46791,0.21035,0.120134,61,12,
179,socfb-Yale4,Facebook Networks,8578,405450,0.0110216,2517,1,94,0.0186304,10742559,1252,90028,0.234548,0.151082,84,10,
180,socfb-konect,Facebook Networks,59216211,92522012,5.28E-08,4960,1,3,-0.292913,19134840,0,7781,0.042728,0.00125,17,6,
181,socfb-nips-ego,Facebook Networks,2888,2981,0.000715069,769,1,2,-0.668214,273,0,52,0.0272474,0.00035938,4,4,
182,socfb-uci-uni,Facebook Networks,58790782,92208195,5.34E-08,4960,1,3,-0.294155,19126557,0,7781,0.0429952,0.00124961,17,6,
183,socfb-wosn-friends,Facebook Networks,63731,1269502,0.000625128,1826,1,39,0.163713,26650432,418,55041,0.211799,0.151545,85,10,
184,soc-BlogCatalog,Social Networks,88784,2093195,0.000531099,9444,1,47,-0.231673,153580167,1729,804436,0.353335,0.0598885,222,40,
185,soc-FourSquare,Social Networks,639014,3214986,1.57E-05,106218,1,10,-0.709681,64953009,101,1996522,0.108011,0.00164581,64,30,
186,soc-LiveJournal1,Social Networks,4847571,68993773,,22889,1,14.23264827,,,,,,,,,
187,soc-LiveMocha,Social Networks,104103,2193083,0.000404728,2980,1,42,-0.146773,10084953,96,36914,0.0544137,0.0140789,93,13,
188,soc-Slashdot0811,Social Networks,77360,828161,0.000276769,5046,1,21,-0.0663293,5762875,74,56722,0.0464794,0.0257051,107,15,
189,soc-Slashdot0902,Social Networks,82168,870161,0.000257768,5062,1,21,-0.0666129,6054478,73,57876,0.0539891,0.0255171,107,15,
190,soc-academia,Social Networks,200169,1397621,6.98E-05,11395,1,13,-0.0164267,8417299,42,120366,0.241358,0.0362635,38,16,
191,soc-advogato,Social Networks,5167,47337,0.00354681,947,1,18,-0.0834277,499659,96,11426,0.286832,0.111357,32,18,
192,soc-anybeat,Social Networks,12645,67053,0.000838774,8705,1,10,-0.121888,946668,74,50981,0.227469,0.0182689,50,25,
193,soc-brightkite,Social Networks,56739,212945,0.000132294,1134,1,7,0.00962268,1483224,26,11517,0.173379,0.11051,53,36,
194,soc-buzznet,Social Networks,101163,2763066,0.000539986,64289,1,54,2.84519,92759544,916,1099041,0.232086,0.0107419,154,26,
195,soc-catster,Social Networks,149684,5448197,0.000486334,80634,1,72,5.46837,556386531,3717,3723314,0.385684,0.0109924,420,53,
196,soc-delicious,Social Networks,536108,1365961,9.51E-06,3216,1,5,-0.0692059,1463916,2,8009,0.0321746,0.010514,34,21,
197,soc-digg,Social Networks,770799,5907132,1.99E-05,17643,1,15,-0.092109,188132376,244,396575,0.0880935,0.0466703,237,45,
198,soc-dogster,Social Networks,426816,8543549,9.38E-05,46503,1,40,-0.1262,250498092,586,1723999,0.170917,0.0142698,249,37,
199,soc-dolphins,Social Networks,62,159,0.0840825,12,1,5,-0.043594,285,4,17,0.258958,0.308776,5,5,
200,soc-douban,Social Networks,154908,327162,2.73E-05,287,1,4,-0.180331,121836,0,394,0.0160572,0.0103733,16,11,
201,soc-epinions,Social Networks,26588,100120,0.000283267,443,1,7,0.0572222,479100,18,5151,0.135164,0.0891644,33,16,
202,soc-firm-hi-tech,Social Networks,33,124.5,0.2358,28,0,9.19,-0.12,454.5,13.77,88.5,0.405,0.296,8,6,6
203,soc-flickr-und,Social Networks,1715255,15555041,1.06E-05,27236,1,18,-0.0153072,1645976115,959,2169311,0.1838,0.112164,569,66,
