Graph,Collection,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Total triangles,Average triangles,Maximum triangles,Avg. clustering coef.,Frac. closed triangles,Maximum k-core,Max. clique (lb)
er_1_23_10,Synthetic,,,,,,,,,,,,,,
er_1_24_5,Synthetic,,,,,,,,,,,,,,
er_1_25_20,Synthetic,,,,,,,,,,,,,,
er_2_1_10,Synthetic,,,,,,,,,,,,,,
er_2_2_50,Synthetic,,,,,,,,,,,,,,
er_2_3_10,Synthetic,,,,,,,,,,,,,,
er_2_4_5,Synthetic,,,,,,,,,,,,,,
er_2_5_5,Synthetic,,,,,,,,,,,,,,
er_2_6_5,Synthetic,,,,,,,,,,,,,,
er_2_7_5,Synthetic,,,,,,,,,,,,,,
er_2_8_50,Synthetic,,,,,,,,,,,,,,
er_2_9_50,Synthetic,,,,,,,,,,,,,,
er_2_10_10,Synthetic,,,,,,,,,,,,,,
er_2_11_10,Synthetic,,,,,,,,,,,,,,
er_2_12_50,Synthetic,,,,,,,,,,,,,,
er_2_13_50,Synthetic,,,,,,,,,,,,,,
er_2_14_50,Synthetic,,,,,,,,,,,,,,
er_2_15_10,Synthetic,,,,,,,,,,,,,,
er_2_16_5,Synthetic,,,,,,,,,,,,,,
er_2_17_50,Synthetic,,,,,,,,,,,,,,
er_2_18_50,Synthetic,,,,,,,,,,,,,,
er_2_19_5,Synthetic,,,,,,,,,,,,,,
er_2_20_50,Synthetic,,,,,,,,,,,,,,
er_2_21_50,Synthetic,,,,,,,,,,,,,,
er_2_22_5,Synthetic,,,,,,,,,,,,,,
er_2_23_5,Synthetic,,,,,,,,,,,,,,
er_2_24_50,Synthetic,,,,,,,,,,,,,,
er_2_25_50,Synthetic,,,,,,,,,,,,,,
er_3_1_500,Synthetic,,,,,,,,,,,,,,
er_3_2_500,Synthetic,,,,,,,,,,,,,,
er_3_3_5,Synthetic,,,,,,,,,,,,,,
er_3_4_500,Synthetic,,,,,,,,,,,,,,
er_3_5_5,Synthetic,,,,,,,,,,,,,,
er_3_6_500,Synthetic,,,,,,,,,,,,,,
er_3_7_5,Synthetic,,,,,,,,,,,,,,
er_3_8_5,Synthetic,,,,,,,,,,,,,,
er_3_9_5,Synthetic,,,,,,,,,,,,,,
er_3_10_5,Synthetic,,,,,,,,,,,,,,
er_3_11_500,Synthetic,,,,,,,,,,,,,,
er_3_12_500,Synthetic,,,,,,,,,,,,,,
er_3_13_500,Synthetic,,,,,,,,,,,,,,
er_3_14_500,Synthetic,,,,,,,,,,,,,,
er_3_15_50,Synthetic,,,,,,,,,,,,,,
er_3_16_5,Synthetic,,,,,,,,,,,,,,
er_3_17_50,Synthetic,,,,,,,,,,,,,,
er_3_18_50,Synthetic,,,,,,,,,,,,,,
er_3_19_50,Synthetic,,,,,,,,,,,,,,
er_3_20_5,Synthetic,,,,,,,,,,,,,,
er_3_21_5,Synthetic,,,,,,,,,,,,,,
er_3_22_500,Synthetic,,,,,,,,,,,,,,
er_3_23_500,Synthetic,,,,,,,,,,,,,,
er_3_24_500,Synthetic,,,,,,,,,,,,,,
er_3_25_5,Synthetic,,,,,,,,,,,,,,
