Graph,Dc#Collection,C#Nodes,C#Edges,C#Density,C#Maximum degree,C#Minimum degree,C#Average degree,C#Assortativity,C#Total triangles,C#Average triangles,C#Maximum triangles,C#Avg. clustering coef.,C#Frac. closed triangles,C#Maximum k-core,C#Max. clique (lb),C#Upper bound of Chromatic number
ENZYMES-g154,Cheminformatics,13,44,0.5641,4,0,3.38,-0.1,34,2.62,4,0.718,0.708,3,2,4
ENZYMES-g155,Cheminformatics,18,66,0.4314,7,0,3.67,-0.1,23,1.28,5.5,0.198,0.237,3,2,4
ENZYMES-g156,Cheminformatics,12,44,0.6667,5,0,3.67,-0.08,18,1.5,4,0.272,0.31,3,2,3
ENZYMES-g157,Cheminformatics,8,30,1.0714,5,0,3.75,-0.11,24,3,5,0.592,0.585,3,2,4
ENZYMES-g158,Cheminformatics,40,126,0.1615,5,0,3.15,-0.05,46,1.15,5,0.157,0.291,3,2,5
ENZYMES-g159,Cheminformatics,12,50,0.7576,6,0,4.17,-0.17,32,2.67,5,0.54,0.471,3,2,4
ENZYMES-g16,Cheminformatics,55,194,0.1306,6,0,3.53,-0.03,66,1.2,6,0.182,0.232,3,2,4
ENZYMES-g160,Cheminformatics,22,96,0.4156,7,0,4.36,-0.02,78,3.55,8,0.502,0.459,3,2,4
ENZYMES-g161,Cheminformatics,22,84,0.3636,6,0,3.82,-0.08,24,1.09,4,0.123,0.188,3,1,4
ENZYMES-g162,Cheminformatics,18,64,0.4183,5,0,3.56,-0.04,50,2.78,5,0.619,0.588,3,2,4
ENZYMES-g163,Cheminformatics,12,44,0.6667,5,0,3.67,-0.11,29,2.42,5,0.556,0.558,3,2,4
ENZYMES-g164,Cheminformatics,17,72,0.5294,7,0,4.24,-0.05,67,3.94,9,0.593,0.558,3,2,4
ENZYMES-g165,Cheminformatics,14,52,0.5714,5,0,3.71,-0.1,35,2.5,4,0.58,0.538,3,2,4
ENZYMES-g166,Cheminformatics,22,72,0.3117,5,0,3.27,-0.06,47,2.14,4,0.567,0.573,3,2,4
ENZYMES-g167,Cheminformatics,43,188,0.2082,7,0,4.37,-0.03,152,3.53,8,0.497,0.463,3,2,5
ENZYMES-g168,Cheminformatics,42,168,0.1951,6,0,4,-0.03,73,1.74,6,0.28,0.281,3,2,4
ENZYMES-g169,Cheminformatics,44,188,0.1987,6,0,4.27,0,74,1.68,7,0.274,0.226,3,2,4
ENZYMES-g17,Cheminformatics,40,190,0.2436,7,0,4.75,-0.02,151,3.78,6,0.441,0.411,3,2,5
ENZYMES-g170,Cheminformatics,24,82,0.2971,5,0,3.42,-0.05,50,2.08,4,0.524,0.49,3,2,5
ENZYMES-g171,Cheminformatics,48,198,0.1755,7,0,4.13,-0.02,95,1.98,8,0.287,0.288,3,2,5
ENZYMES-g172,Cheminformatics,25,92,0.3067,5,0,3.68,-0.03,62,2.48,5,0.499,0.484,3,2,5
ENZYMES-g173,Cheminformatics,46,192,0.1855,6,0,4.17,0,83,1.8,7,0.28,0.256,3,2,4
ENZYMES-g174,Cheminformatics,48,196,0.1738,6,0,4.08,-0.02,83,1.73,5,0.269,0.261,3,2,4
ENZYMES-g175,Cheminformatics,25,86,0.2867,6,0,3.44,-0.04,57,2.28,5,0.543,0.514,3,2,4
ENZYMES-g176,Cheminformatics,48,192,0.1702,6,0,4,-0.01,92,1.92,5,0.335,0.303,3,2,5
ENZYMES-g177,Cheminformatics,44,192,0.203,8,0,4.36,-0.03,76,1.73,6,0.241,0.221,3,2,4
ENZYMES-g178,Cheminformatics,42,176,0.2044,6,0,4.19,-0.01,71,1.69,6,0.277,0.235,3,1,4
ENZYMES-g179,Cheminformatics,40,118,0.1513,7,0,2.95,-0.01,20,0.5,2,0.155,0.141,2,1,3
ENZYMES-g18,Cheminformatics,38,182,0.2589,7,0,4.79,-0.02,151,3.97,7,0.451,0.424,4,2,5
ENZYMES-g180,Cheminformatics,38,120,0.1707,7,0,3.16,-0.03,20,0.53,2,0.155,0.131,3,1,3
ENZYMES-g181,Cheminformatics,40,162,0.2077,7,0,4.05,-0.01,77,1.93,5,0.3,0.287,3,1,4
ENZYMES-g182,Cheminformatics,41,172,0.2098,6,0,4.2,-0.04,84,2.05,4.5,0.324,0.3,3,2,4
ENZYMES-g183,Cheminformatics,42,188,0.2184,6,0,4.48,0,95,2.26,7,0.31,0.275,3,2,4
ENZYMES-g184,Cheminformatics,40,182,0.2333,6,0,4.55,0,86,2.15,6,0.263,0.254,4,1,5
ENZYMES-g185,Cheminformatics,44,190,0.2008,6,0,4.32,0,86,1.95,6,0.262,0.257,3,1,5
ENZYMES-g186,Cheminformatics,24,80,0.2899,5,0,3.33,-0.04,30,1.25,4,0.3,0.309,3,2,4
ENZYMES-g187,Cheminformatics,44,188,0.1987,6,0,4.27,-0.03,79,1.8,4,0.27,0.245,3,1,4
ENZYMES-g188,Cheminformatics,20,78,0.4105,5,0,3.9,-0.01,56,2.8,7,0.448,0.475,3,2,5
ENZYMES-g189,Cheminformatics,42,190,0.2207,7,0,4.52,-0.02,111,2.64,6,0.335,0.313,3,2,5
ENZYMES-g19,Cheminformatics,2,2,2,1,0,1,-1,0,0,0,0,0,0,0,1
ENZYMES-g190,Cheminformatics,27,98,0.2792,6,0,3.63,-0.06,76,2.81,6,0.602,0.589,3,2,4
ENZYMES-g191,Cheminformatics,48,192,0.1702,6,0,4,0,86,1.79,3,0.336,0.281,3,2,4
ENZYMES-g192,Cheminformatics,31,132,0.2839,6,0,4.26,-0.05,103,3.32,8,0.488,0.479,3,2,5
ENZYMES-g193,Cheminformatics,30,120,0.2759,6,0,4,-0.06,89,2.97,7.5,0.48,0.478,3,2,4
ENZYMES-g194,Cheminformatics,46,200,0.1932,6,0,4.35,-0.01,80,1.74,5,0.225,0.22,3,1,5
ENZYMES-g195,Cheminformatics,47,184,0.1702,7,0,3.91,-0.02,83,1.77,5,0.289,0.292,3,2,4
ENZYMES-g196,Cheminformatics,50,172,0.1404,8,0,3.44,-0.03,45,0.9,5,0.197,0.187,3,2,5
ENZYMES-g197,Cheminformatics,40,154,0.1974,7,0,3.85,-0.02,80,2,8,0.243,0.336,3,2,5
ENZYMES-g198,Cheminformatics,55,154,0.1037,5,0,2.8,-0.05,25,0.45,2.5,0.182,0.157,2,1,4
ENZYMES-g199,Cheminformatics,62,216,0.1142,6,0,3.48,-0.03,46,0.74,4,0.147,0.163,3,1,4
ENZYMES-g2,Cheminformatics,23,102,0.4032,6,0,4.43,-0.04,93,4.04,7,0.523,0.511,3,2,5
ENZYMES-g20,Cheminformatics,35,140,0.2353,7,0,4,-0.04,115,3.29,7.5,0.577,0.513,4,2,4
ENZYMES-g200,Cheminformatics,34,144,0.2567,6,0,4.24,-0.02,120,3.53,8,0.543,0.502,3,2,5
ENZYMES-g201,Cheminformatics,29,106,0.2611,5,0,3.66,-0.05,84,2.9,5,0.66,0.604,3,2,4
ENZYMES-g202,Cheminformatics,25,90,0.3,5,0,3.6,-0.04,71,2.84,5,0.634,0.607,3,2,4
ENZYMES-g203,Cheminformatics,56,200,0.1299,6,0,3.57,-0.03,85,1.52,6,0.262,0.299,3,2,4
ENZYMES-g204,Cheminformatics,57,210,0.1316,6,0,3.68,-0.03,103,1.81,5,0.3,0.336,3,2,5
ENZYMES-g205,Cheminformatics,27,122,0.3476,6,0,4.52,-0.04,68,2.52,6,0.331,0.304,3,2,4
ENZYMES-g206,Cheminformatics,22,86,0.3723,6,0,3.91,-0.05,56,2.55,6,0.488,0.431,3,2,4
ENZYMES-g207,Cheminformatics,24,86,0.3116,5,0,3.58,-0.04,68,2.83,5,0.64,0.613,3,2,4
ENZYMES-g208,Cheminformatics,23,100,0.3953,7,0,4.35,-0.01,91,3.96,8,0.565,0.503,3,2,6
ENZYMES-g209,Cheminformatics,57,202,0.1266,5,0,3.54,-0.04,85,1.49,5,0.268,0.301,3,2,4
ENZYMES-g21,Cheminformatics,42,180,0.2091,7,0,4.29,-0.01,153,3.64,8,0.541,0.489,3,2,5
ENZYMES-g210,Cheminformatics,24,100,0.3623,6,0,4.17,-0.03,94,3.92,7,0.633,0.556,4,2,5
ENZYMES-g211,Cheminformatics,24,100,0.3623,7,0,4.17,-0.01,82,3.42,7,0.537,0.477,3,2,5
ENZYMES-g212,Cheminformatics,23,94,0.3715,7,0,4.09,-0.03,82,3.57,7,0.601,0.529,3,2,5
ENZYMES-g213,Cheminformatics,25,110,0.3667,7,0,4.4,-0.04,68,2.72,7,0.373,0.345,3,1,4
ENZYMES-g214,Cheminformatics,23,102,0.4032,8,0,4.43,-0.04,86,3.74,10,0.399,0.439,3,2,5
ENZYMES-g215,Cheminformatics,48,208,0.1844,7,0,4.33,-0.02,91,1.9,5,0.265,0.246,3,2,4
ENZYMES-g216,Cheminformatics,27,94,0.2678,6,0,3.48,-0.04,69,2.56,5,0.599,0.566,3,2,4
ENZYMES-g217,Cheminformatics,15,68,0.6476,6,0,4.53,-0.1,46,3.07,5,0.42,0.393,3,1,4
ENZYMES-g218,Cheminformatics,44,194,0.2051,8,0,4.41,-0.03,119,2.7,8,0.356,0.342,3,2,5
ENZYMES-g219,Cheminformatics,29,128,0.3153,7,0,4.41,-0.02,107,3.69,8,0.514,0.469,3,2,5
ENZYMES-g22,Cheminformatics,41,180,0.2195,6,0,4.39,-0.02,150,3.66,8,0.499,0.472,3,2,4
ENZYMES-g220,Cheminformatics,21,82,0.3905,6,0,3.9,-0.04,69,3.29,7,0.574,0.58,3,2,4
ENZYMES-g221,Cheminformatics,34,126,0.2246,6,0,3.71,-0.06,50,1.47,5.5,0.253,0.281,3,2,4
ENZYMES-g222,Cheminformatics,30,114,0.2621,5,0,3.8,-0.05,31,1.03,3,0.181,0.196,3,1,4
ENZYMES-g223,Cheminformatics,40,158,0.2026,6,0,3.95,-0.03,107,2.68,6,0.499,0.439,3,2,5
ENZYMES-g224,Cheminformatics,54,210,0.1468,8,0,3.89,-0.02,96,1.78,4,0.303,0.294,3,1,4
ENZYMES-g225,Cheminformatics,18,70,0.4575,5,0,3.89,-0.05,47,2.61,6,0.459,0.47,3,2,4
ENZYMES-g226,Cheminformatics,36,148,0.2349,7,0,4.11,-0.02,89,2.47,5,0.378,0.359,3,2,4
ENZYMES-g227,Cheminformatics,37,162,0.2432,7,0,4.38,-0.05,86,2.32,5,0.332,0.321,4,1,4
ENZYMES-g228,Cheminformatics,34,152,0.2709,7,0,4.47,-0.05,87,2.56,7,0.34,0.336,4,1,4
ENZYMES-g229,Cheminformatics,23,100,0.3953,7,0,4.35,-0.04,81,3.52,6,0.527,0.471,3,2,5
ENZYMES-g23,Cheminformatics,39,162,0.2186,6,0,4.15,-0.02,126,3.23,7,0.523,0.477,3,2,4
